"hour","district","rev5","rev1","rev2","rev3","rev4"
"6am","138",4042.05,433.3,2023.47,4341.83,4420.91
"6am","139",966.96,280.58,429.94,959.83,976.77
"6am","140",1391.72,391.47,649.41,1126.5,824.51
"6am","141",162.84,58.37,86.66,152.49,283
"6am","301",4248.03,6009.37,6605.52,7640.96,4085.4
"6am","302",9051.87,6159.84,10205.82,18561.17,12489.76
"6am","303",4580.97,3754.29,6545.08,6094.91,1820.22
"6am","304",3182.5,1622.7,1837.03,4742.63,5986.47
"6am","305",760.86,641.12,1348.21,821.83,296.73
"6am","306",3089.91,1643.92,3426.8,4594.52,1962.48
"6am","307",11593.06,6595.63,17698.17,19719.17,7571.53
"6am","308",14341.01,5596.64,15725.97,18759.41,10292.71
"6am","309",6764.12,1665.3,5770.17,11138.88,10303.57
"6am","310",3758.47,921.08,3337.18,6080.6,6148.78
"6am","401",3612.18,2085.19,6189.84,6692.12,2246.66
"6am","402",4950.06,1452.09,7024.45,7851.14,5720.5
"6am","403",18113.32,11233.87,19360.78,16222.1,7057.72
"6am","404",9986.95,4291.57,11873.76,14214.94,8125.8
"6am","405",9533.28,3275.33,10054.06,13106.5,6722.39
"6am","406",14356.55,10040.33,17490.85,18349.15,7497.49
"6am","407",4728.36,2399.56,5676.97,6502.95,3412.26
"6am","408",5469.09,1691.18,7104.24,5834.17,2779.37
"6am","501",1595.45,1021.66,2166.56,2191.39,775.22
"6am","502",1434.06,1197.16,2391.23,1808.33,570.16
"6am","511",10675.28,10989.2,21883.34,21264.35,7115.54
"6am","521",4587.08,1346.53,5488.26,8215.47,4844
"6am","522",1741.19,700.34,2727.71,4022.66,2564.62
"6am","523",3832.06,2327.02,6278.27,6648.8,2797.72
"6am","524",3992.09,1975.52,4998.7,6041.43,4139.96
"6am","525",763.61,602.84,1839.91,1207.82,751.7
"6am","531",4505.94,1855.67,7394.89,10054.01,5252.95
"6am","532",5138.86,2078.07,5752.24,8706.93,4593.93
"6am","533",5778.36,6496.24,9173.94,7472.09,3022.09
"6am","541",1092.67,695.78,1305.15,1431.04,600.06
"6am","542",3216.85,1479.5,3743.89,5885.34,3694.7
"6am","543",3165.48,795.51,2758.21,4571.8,3582.52
"6am","544",5763.01,3109.73,10481.6,12381.9,5102.51
"6am","545",1796.54,1085.56,3020,3381.65,1069.19
"6am","546",8340.42,4582.17,11433.39,9603.92,3537.7
"6am","547",1484.07,1562.71,1578.21,1287.88,325.43
"6am","551",1920.08,1622.84,3654.24,3006.83,1257.02
"6am","561",1705.38,1840,2982.08,2379.9,936.14
"6am","562",5612.19,6471.3,9564.21,9072.19,2629.45
"6am","563",519.99,594.56,785.17,618.36,225.98
"6am","564",870.59,443.98,1067.94,1531.92,584.01
"6am","571",2348.33,1625.51,4697.89,5471.84,1564.84
"6am","572",5427.93,2654.17,8273.15,8519.89,3439.17
"6am","573",4717.26,2553.12,6791.82,8692.25,4289.55
"6am","574",3310.66,925.73,4051.26,5484.88,4394.95
"6am","575",1325.97,912.03,1488.58,1350.81,1017.55
"6am","576",1536.13,1541.72,3336.41,3125.96,1004.25
"6am","601",2182.91,2065.36,4211.25,3554.75,874.41
"6am","602",7394.2,9648.39,11515.81,11576.16,3956.44
"6am","611",11533.23,5554.58,18987.97,21307.05,9866.64
